15	15	E	-1.1561375085561074E7	169
emissionprobs	4	0	CtcfStdAlnRep1	0	0.9899886378627154
emissionprobs	4	0	CtcfStdAlnRep1	1	0.010011362137284518
emissionprobs	4	1	Ezh239875AlnRep1	0	0.998389381125017
emissionprobs	4	1	Ezh239875AlnRep1	1	0.0016106188749831368
emissionprobs	4	2	H2azAlnRep1	0	0.9995132415561949
emissionprobs	4	2	H2azAlnRep1	1	4.8675844380502854E-4
emissionprobs	4	3	H3k09me3AlnRep1	0	0.9990476531936386
emissionprobs	4	3	H3k09me3AlnRep1	1	9.523468063614E-4
emissionprobs	4	4	H3k27acStdAlnRep1	0	0.9951041473425336
emissionprobs	4	4	H3k27acStdAlnRep1	1	0.004895852657466498
emissionprobs	4	5	H3k27me3StdAlnRep1	0	0.999866901446681
emissionprobs	4	5	H3k27me3StdAlnRep1	1	1.3309855331906695E-4
emissionprobs	4	6	H3k36me3StdAlnRep1	0	0.9686865877923888
emissionprobs	4	6	H3k36me3StdAlnRep1	1	0.03131341220761121
emissionprobs	4	7	H3k4me1StdAlnRep1	0	0.998030599209186
emissionprobs	4	7	H3k4me1StdAlnRep1	1	0.001969400790813901
emissionprobs	4	8	H3k4me2StdAlnRep1	0	0.9997225362789957
emissionprobs	4	8	H3k4me2StdAlnRep1	1	2.774637210043512E-4
emissionprobs	4	9	H3k4me3StdAlnRep1	0	0.9998743471216002
emissionprobs	4	9	H3k4me3StdAlnRep1	1	1.2565287839980992E-4
emissionprobs	4	10	H3k79me2AlnRep1	0	0.979772304810618
emissionprobs	4	10	H3k79me2AlnRep1	1	0.02022769518938196
emissionprobs	4	11	H3k9acStdAlnRep1	0	0.9994978002084421
emissionprobs	4	11	H3k9acStdAlnRep1	1	5.02199791557856E-4
emissionprobs	4	12	H3k9me1StdAlnRep1	0	0.9942944945580011
emissionprobs	4	12	H3k9me1StdAlnRep1	1	0.005705505441998862
emissionprobs	4	13	H4k20me1StdAlnRep1	0	0.9943997275842681
emissionprobs	4	13	H4k20me1StdAlnRep1	1	0.005600272415731981
emissionprobs	4	14	Pol2bStdAlnRep1	0	0.9509013614810206
emissionprobs	4	14	Pol2bStdAlnRep1	1	0.04909863851897947
emissionprobs	5	0	CtcfStdAlnRep1	0	0.9958102674248055
emissionprobs	5	0	CtcfStdAlnRep1	1	0.004189732575194602
emissionprobs	5	1	Ezh239875AlnRep1	0	0.9977569153965086
emissionprobs	5	1	Ezh239875AlnRep1	1	0.002243084603491556
emissionprobs	5	2	H2azAlnRep1	0	0.9983903496869848
emissionprobs	5	2	H2azAlnRep1	1	0.0016096503130153099
emissionprobs	5	3	H3k09me3AlnRep1	0	0.9982968865107753
emissionprobs	5	3	H3k09me3AlnRep1	1	0.0017031134892246792
emissionprobs	5	4	H3k27acStdAlnRep1	0	0.9988717501625611
emissionprobs	5	4	H3k27acStdAlnRep1	1	0.0011282498374388416
emissionprobs	5	5	H3k27me3StdAlnRep1	0	0.9958038861134454
emissionprobs	5	5	H3k27me3StdAlnRep1	1	0.004196113886554664
emissionprobs	5	6	H3k36me3StdAlnRep1	0	0.9994148915912562
emissionprobs	5	6	H3k36me3StdAlnRep1	1	5.85108408743933E-4
emissionprobs	5	7	H3k4me1StdAlnRep1	0	0.9997885280459323
emissionprobs	5	7	H3k4me1StdAlnRep1	1	2.1147195406753976E-4
emissionprobs	5	8	H3k4me2StdAlnRep1	0	0.9999110641180663
emissionprobs	5	8	H3k4me2StdAlnRep1	1	8.893588193376166E-5
emissionprobs	5	9	H3k4me3StdAlnRep1	0	0.9999291805499789
emissionprobs	5	9	H3k4me3StdAlnRep1	1	7.081945002103566E-5
emissionprobs	5	10	H3k79me2AlnRep1	0	0.9999876600758105
emissionprobs	5	10	H3k79me2AlnRep1	1	1.2339924189524495E-5
emissionprobs	5	11	H3k9acStdAlnRep1	0	0.999867177445503
emissionprobs	5	11	H3k9acStdAlnRep1	1	1.3282255449685237E-4
emissionprobs	5	12	H3k9me1StdAlnRep1	0	0.998659893095822
emissionprobs	5	12	H3k9me1StdAlnRep1	1	0.001340106904178091
emissionprobs	5	13	H4k20me1StdAlnRep1	0	0.9991789148549037
emissionprobs	5	13	H4k20me1StdAlnRep1	1	8.210851450963364E-4
emissionprobs	5	14	Pol2bStdAlnRep1	0	0.9870658682838183
emissionprobs	5	14	Pol2bStdAlnRep1	1	0.012934131716181761
emissionprobs	6	0	CtcfStdAlnRep1	0	0.989463224061476
emissionprobs	6	0	CtcfStdAlnRep1	1	0.010536775938523932
emissionprobs	6	1	Ezh239875AlnRep1	0	0.9586575819086413
emissionprobs	6	1	Ezh239875AlnRep1	1	0.041342418091358815
emissionprobs	6	2	H2azAlnRep1	0	0.998857325157178
emissionprobs	6	2	H2azAlnRep1	1	0.001142674842822095
emissionprobs	6	3	H3k09me3AlnRep1	0	0.9988089494658069
emissionprobs	6	3	H3k09me3AlnRep1	1	0.0011910505341931215
emissionprobs	6	4	H3k27acStdAlnRep1	0	0.9985950161317698
emissionprobs	6	4	H3k27acStdAlnRep1	1	0.0014049838682302345
emissionprobs	6	5	H3k27me3StdAlnRep1	0	0.7059205445152986
emissionprobs	6	5	H3k27me3StdAlnRep1	1	0.2940794554847013
emissionprobs	6	6	H3k36me3StdAlnRep1	0	0.9995861524911082
emissionprobs	6	6	H3k36me3StdAlnRep1	1	4.1384750889181786E-4
emissionprobs	6	7	H3k4me1StdAlnRep1	0	0.998700186536539
emissionprobs	6	7	H3k4me1StdAlnRep1	1	0.0012998134634609505
emissionprobs	6	8	H3k4me2StdAlnRep1	0	0.9996150668863366
emissionprobs	6	8	H3k4me2StdAlnRep1	1	3.849331136634879E-4
emissionprobs	6	9	H3k4me3StdAlnRep1	0	0.9998949667123235
emissionprobs	6	9	H3k4me3StdAlnRep1	1	1.050332876765397E-4
emissionprobs	6	10	H3k79me2AlnRep1	0	0.9999276085100519
emissionprobs	6	10	H3k79me2AlnRep1	1	7.239148994808326E-5
emissionprobs	6	11	H3k9acStdAlnRep1	0	0.9996861201454661
emissionprobs	6	11	H3k9acStdAlnRep1	1	3.138798545339509E-4
emissionprobs	6	12	H3k9me1StdAlnRep1	0	0.9972430352830589
emissionprobs	6	12	H3k9me1StdAlnRep1	1	0.0027569647169411117
emissionprobs	6	13	H4k20me1StdAlnRep1	0	0.9963370224916843
emissionprobs	6	13	H4k20me1StdAlnRep1	1	0.0036629775083157185
emissionprobs	6	14	Pol2bStdAlnRep1	0	0.9792633871057067
emissionprobs	6	14	Pol2bStdAlnRep1	1	0.020736612894293318
emissionprobs	7	0	CtcfStdAlnRep1	0	0.9662346473350804
emissionprobs	7	0	CtcfStdAlnRep1	1	0.033765352664919694
emissionprobs	7	1	Ezh239875AlnRep1	0	0.09702703562048402
emissionprobs	7	1	Ezh239875AlnRep1	1	0.902972964379516
emissionprobs	7	2	H2azAlnRep1	0	0.8660169985455272
emissionprobs	7	2	H2azAlnRep1	1	0.1339830014544728
emissionprobs	7	3	H3k09me3AlnRep1	0	0.9951983379934026
emissionprobs	7	3	H3k09me3AlnRep1	1	0.004801662006597312
emissionprobs	7	4	H3k27acStdAlnRep1	0	0.9989955831775948
emissionprobs	7	4	H3k27acStdAlnRep1	1	0.0010044168224051624
emissionprobs	7	5	H3k27me3StdAlnRep1	0	0.42507239027215515
emissionprobs	7	5	H3k27me3StdAlnRep1	1	0.5749276097278448
emissionprobs	7	6	H3k36me3StdAlnRep1	0	0.9996230817660544
emissionprobs	7	6	H3k36me3StdAlnRep1	1	3.7691823394565735E-4
emissionprobs	7	7	H3k4me1StdAlnRep1	0	0.9729567083046755
emissionprobs	7	7	H3k4me1StdAlnRep1	1	0.027043291695324462
emissionprobs	7	8	H3k4me2StdAlnRep1	0	0.9616475702219818
emissionprobs	7	8	H3k4me2StdAlnRep1	1	0.038352429778018206
emissionprobs	7	9	H3k4me3StdAlnRep1	0	0.9901272557326708
emissionprobs	7	9	H3k4me3StdAlnRep1	1	0.009872744267329188
emissionprobs	7	10	H3k79me2AlnRep1	0	0.999187545146513
emissionprobs	7	10	H3k79me2AlnRep1	1	8.124548534870294E-4
emissionprobs	7	11	H3k9acStdAlnRep1	0	0.9995226240585557
emissionprobs	7	11	H3k9acStdAlnRep1	1	4.773759414442465E-4
